kulcs,gaznap,gazora,mennyiseg_mwh,atlagar,valtozas
2026-09-12|15,2026-09-12,15,15.0,77.0,
2026-09-12|16,2026-09-12,16,15.0,77.0,0.0
2026-09-13|15,2026-09-13,15,17.0,80.8,
2026-09-13|16,2026-09-13,16,17.0,80.8,0.0
2026-09-14|08,2026-09-14,8,80.0,80.59,
2026-09-14|09,2026-09-14,9,80.0,80.59,0.0
2026-09-14|10,2026-09-14,10,80.0,80.59,0.0
2026-09-14|11,2026-09-14,11,80.0,80.59,0.0
2026-09-14|12,2026-09-14,12,80.0,80.59,0.0
2026-09-14|13,2026-09-14,13,80.0,80.59,0.0
2026-09-14|14,2026-09-14,14,80.0,80.59,0.0
2026-09-14|15,2026-09-14,15,80.0,80.59,0.0
2026-09-16|12,2026-09-16,12,180.0,77.59,
2026-09-16|13,2026-09-16,13,202.0,77.62,0.03
2026-09-16|14,2026-09-16,14,267.0,77.71,0.12
2026-09-16|15,2026-09-16,15,290.0,77.7,-0.01
2026-09-20|12,2026-09-20,12,37.0,73.4,
2026-09-20|13,2026-09-20,13,37.0,73.4,0.0
2026-09-20|14,2026-09-20,14,37.0,73.4,0.0
2026-09-21|10,2026-09-21,10,21.0,73.9,
2026-09-21|11,2026-09-21,11,107.0,73.99,0.12
2026-09-21|12,2026-09-21,12,107.0,73.99,0.0
2026-09-21|13,2026-09-21,13,130.0,73.83,-0.21
2026-09-21|14,2026-09-21,14,130.0,73.83,0.0
2026-09-21|15,2026-09-21,15,160.0,73.49,-0.46
2026-09-22|11,2026-09-22,11,25.0,68.0,
2026-09-22|12,2026-09-22,12,83.0,65.98,-2.97
2026-09-22|13,2026-09-22,13,533.0,64.59,-2.11
2026-09-22|14,2026-09-22,14,553.0,64.64,0.08
2026-09-23|12,2026-09-23,12,168.0,67.97,
