nap,egyeb_fosszilis_mwh,atom_mwh,foldgaz_mwh,egyeb_megujulo_mwh,szel_mwh,napenergia_mwh,termeles_mwh,fogyasztas_mwh,import_mwh,nap_arany,szel_arany,megujulo_arany,import_arany,orak
2026-05-24,1612.1,33478.4,3971.8,4670.2,583.6,29725.7,74041.8,81981.2,9625.3,36.26,0.71,42.67,11.74,24.0
2026-05-25,2032.1,33642.4,4533.1,4297.6,1371.2,32181.6,78058.1,85179.6,10802.2,37.78,1.61,44.44,12.68,24.0
2026-05-26,3081.6,33615.9,7139.0,3857.3,800.0,36120.8,84614.8,102487.6,19405.3,35.24,0.78,39.79,18.93,24.0
2026-05-27,5099.3,33459.9,12299.8,3805.8,839.7,34913.4,90417.9,110611.8,21209.0,31.56,0.76,35.76,19.17,24.0
2026-05-28,5193.4,33554.8,12770.4,3633.8,2323.8,37247.5,94723.8,103019.8,11879.3,36.16,2.26,41.94,11.53,24.0
2026-05-29,5028.7,33642.7,10037.2,4717.1,221.1,38221.3,91868.1,102629.4,12551.4,37.24,0.22,42.05,12.23,24.0
2026-05-30,4770.7,33622.1,9869.2,4661.4,1241.2,22237.8,76402.5,99763.3,26244.4,22.29,1.24,28.21,26.31,24.0
2026-05-31,4388.6,33650.7,7688.2,4624.5,1114.3,30813.5,82279.9,90814.3,10385.4,33.93,1.23,40.25,11.44,24.0
2026-06-01,5363.8,33670.9,22476.2,4234.5,2747.1,15604.5,84096.9,111639.2,30004.1,13.98,2.46,20.23,26.88,24.0
2026-06-02,5054.8,33628.6,11940.5,4563.1,876.3,35296.6,91359.8,104669.8,14243.3,33.72,0.84,38.92,13.61,24.0
2026-06-03,5107.4,33497.6,4671.9,4642.7,2091.9,22527.3,72538.8,113268.2,42700.8,19.89,1.85,25.83,37.7,24.0
2026-06-04,4757.7,33537.2,4590.9,3744.2,995.6,26040.0,73665.6,109811.0,37590.8,23.71,0.91,28.03,34.23,24.0
2026-06-05,5012.2,34373.6,4905.6,4623.8,1706.8,26751.9,77373.9,109015.5,32401.3,24.54,1.57,30.35,29.72,24.0
2026-06-06,3998.0,41317.1,3844.5,4742.1,279.3,26156.4,80337.3,93761.6,15314.2,27.9,0.3,33.25,16.33,24.0
2026-06-07,3555.8,44318.5,6036.9,3998.9,307.4,26321.7,84539.1,89787.1,6818.9,29.32,0.34,34.11,7.59,24.0
2026-06-08,4612.1,44791.8,12519.7,4909.4,228.9,39771.4,106833.4,103350.1,-2416.1,38.48,0.22,43.45,-2.34,24.0
2026-06-09,4727.3,44628.7,14349.1,4940.5,1351.4,35388.4,105385.4,111006.7,7390.2,31.88,1.22,37.55,6.66,24.0
2026-06-10,4668.9,44658.7,15877.5,4830.2,1652.8,32241.7,103929.8,114499.9,10805.5,28.16,1.44,33.82,9.44,24.0
2026-06-11,4414.7,44670.8,12642.0,4839.9,3715.8,25665.1,95948.3,110711.1,13372.8,23.18,3.36,30.91,12.08,24.0
2026-06-12,4170.6,44802.3,11422.6,4554.2,1870.3,35046.5,101866.6,102577.0,104.0,34.17,1.82,40.43,0.1,24.0
2026-06-13,3738.3,44603.8,4040.1,3926.0,824.5,21011.5,78144.1,97820.6,20301.2,21.48,0.84,26.34,20.75,24.0
2026-06-14,2424.5,45140.6,5841.7,3877.2,1094.1,18312.6,76690.8,96516.0,20845.2,18.97,1.13,24.12,21.6,24.0
2026-06-15,4241.0,45246.7,11695.7,3829.5,1210.5,27989.9,94213.3,101834.2,9052.2,27.49,1.19,32.43,8.89,24.0
2026-06-16,4585.1,45245.8,12454.8,3405.9,1027.0,39822.1,106540.6,101766.6,-2779.2,39.13,1.01,43.49,-2.73,24.0
2026-06-17,4621.9,42984.9,18779.0,3352.8,724.0,31794.0,102256.6,110149.2,10398.6,28.86,0.66,32.57,9.44,24.0
2026-06-18,4733.9,44521.5,21676.4,3806.2,279.8,33799.9,108817.7,112788.4,5949.2,29.97,0.25,33.59,5.27,24.0
2026-06-19,4676.1,44800.6,20630.0,4245.4,167.8,37354.4,111874.2,114447.8,4167.6,32.64,0.15,36.49,3.64,24.0
2026-06-20,4464.2,44631.9,16956.4,4275.1,660.8,28790.2,99778.7,107953.5,10140.4,26.67,0.61,31.24,9.39,24.0
2026-06-21,2532.8,44523.9,16492.8,4277.1,296.6,28487.5,96610.8,105552.6,11120.0,26.99,0.28,31.32,10.54,24.0
2026-06-22,4146.8,44273.8,22379.5,4341.6,1529.7,33959.4,110630.8,120452.0,12437.9,28.19,1.27,33.07,10.33,24.0
2026-06-23,4536.1,44221.8,27022.7,4336.5,1123.5,37120.2,118360.6,122833.1,6504.2,30.22,0.91,34.67,5.3,24.0
2026-06-24,4962.1,44137.2,28917.9,4286.3,752.0,38980.0,122035.5,123238.9,3309.1,31.63,0.61,35.72,2.69,24.0
2026-06-25,4266.9,44144.1,25257.0,4192.6,293.1,40961.2,119115.1,122710.8,6860.1,33.38,0.24,37.04,5.59,24.0
2026-06-26,4339.5,43907.6,25567.2,4161.6,91.6,40070.6,118138.1,125524.2,9781.2,31.92,0.07,35.31,7.79,24.0
2026-06-27,4419.2,41774.4,22473.4,4094.0,206.0,36666.1,109633.1,119874.1,12289.3,30.59,0.17,34.17,10.25,24.0
2026-06-28,4466.5,35034.1,18564.6,4116.1,492.8,32556.2,95230.3,119872.9,27206.1,27.16,0.41,31.0,22.7,24.0
2026-06-29,7716.8,29728.1,29230.7,4153.5,337.5,38171.1,109337.6,137537.5,30126.7,27.75,0.25,31.02,21.9,24.0
2026-06-30,8589.0,29106.7,29983.7,3846.0,793.1,34948.2,107266.6,140642.2,36320.8,24.85,0.56,28.15,25.82,24.0
2026-07-01,8578.5,29115.3,30381.7,3506.7,1595.7,30520.4,103698.5,137203.2,37566.0,22.24,1.16,25.96,27.38,24.0
2026-07-02,7257.6,29129.2,20370.9,3597.3,4253.8,27664.0,92272.8,123526.6,34754.5,22.4,3.44,28.75,28.14,24.0
2026-07-03,4857.8,31147.3,17282.2,4341.1,2754.3,34926.6,95309.2,118692.2,25822.2,29.43,2.32,35.4,21.76,24.0
2026-07-04,4387.9,38177.9,3849.0,4398.5,1334.6,32255.7,84403.6,98366.2,15763.2,32.79,1.36,38.62,16.03,24.0
2026-07-05,3715.9,43549.7,6039.6,4214.5,855.8,22376.7,80752.2,97809.7,18541.5,22.88,0.87,28.06,18.96,24.0
2026-07-06,4408.7,44276.0,11364.4,3868.1,1318.5,28504.7,93740.3,110975.2,18887.6,25.69,1.19,30.36,17.02,24.0
2026-07-07,4944.5,44246.2,11774.0,3831.9,2050.3,25739.7,92586.6,117422.3,27840.3,21.92,1.75,26.93,23.71,24.0
2026-07-08,5066.2,44403.0,7416.5,3946.0,3121.6,21994.2,85947.4,118168.8,34584.4,18.61,2.64,24.59,29.27,24.0
2026-07-09,5185.0,44530.0,10762.8,3909.8,2373.1,30646.6,97407.2,109044.9,12990.3,28.1,2.18,33.87,11.91,24.0
2026-07-10,5056.4,44509.9,10544.6,3492.1,203.3,33248.8,97055.1,108758.9,13670.0,30.57,0.19,33.97,12.57,24.0
2026-07-11,4538.4,44372.9,9227.9,3382.5,434.1,29889.8,91845.6,99774.6,10050.1,29.96,0.44,33.78,10.07,24.0
2026-07-12,3725.9,44413.1,4138.5,3706.8,932.2,22462.1,79378.6,97706.5,20219.1,22.99,0.95,27.74,20.69,24.0
2026-07-13,4369.1,44012.9,4234.7,3943.1,1274.5,32411.0,90245.4,107908.6,20507.2,30.04,1.18,34.87,19.0,24.0
2026-07-14,4980.1,44159.4,8916.4,3952.5,192.4,35765.8,97966.7,116044.6,19765.0,30.82,0.17,34.39,17.03,24.0
2026-07-15,4930.4,43923.1,18528.1,4021.8,212.7,25543.3,97159.4,122766.7,27528.2,20.81,0.17,24.26,22.42,24.0
2026-07-16,5396.4,43784.6,19178.2,3881.9,116.0,30293.4,102650.4,123893.4,24313.6,24.45,0.09,27.68,19.62,24.0
2026-07-17,5121.6,43616.8,18517.8,3806.3,715.6,36016.5,107794.7,124676.9,19485.2,28.89,0.57,32.51,15.63,24.0
2026-07-18,4466.1,42233.0,5264.6,3578.1,936.3,31657.4,88135.6,112661.9,27138.6,28.1,0.83,32.11,24.09,24.0
