nap,zsinor,csucs,csucson_kivul,min_ar,min_ido,max_ar,max_ido,idoszakok
2026-09-09,160.64,123.81,197.48,9.01,11:00,294.82,19:45,96
2026-09-10,203.34,190.92,215.76,98.95,11:45,530.36,19:45,96
2026-09-11,208.98,204.53,213.43,164.51,10:45,319.33,19:45,96
2026-09-12,153.09,107.09,199.09,0.64,13:00,253.22,17:45,96
2026-09-14,250.97,256.15,245.78,152.0,16:00,660.34,19:45,96
2026-09-15,189.96,164.85,215.08,43.21,11:45,332.99,19:30,96
2026-09-16,168.02,132.76,203.28,0.0,10:00,321.32,19:15,96
2026-09-17,177.76,149.46,206.06,59.03,13:45,290.15,19:45,96
2026-09-18,180.25,130.38,230.12,15.57,15:00,272.87,19:30,96
2026-09-19,165.27,89.73,240.81,1.01,13:15,267.33,22:00,96
2026-09-20,142.33,66.71,217.95,-0.44,13:30,269.29,20:45,96
