jegyzes_nap,piac,termek,tipus,szallitas_kezdete,szallitas_vege,ar
2026-01-05,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,115.0
2026-01-05,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,100.0
2026-01-05,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,95.15
2026-01-05,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,91.25
2026-01-06,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,115.2
2026-01-06,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,100.2
2026-01-06,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,94.6
2026-01-06,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,94.0
2026-01-07,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,117.0
2026-01-07,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,100.5
2026-01-07,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,94.5
2026-01-07,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,92.25
2026-01-08,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,114.75
2026-01-08,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,100.0
2026-01-08,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,94.25
2026-01-08,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,92.5
2026-01-09,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,114.25
2026-01-09,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,99.75
2026-01-09,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,93.4
2026-01-09,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,92.0
2026-01-12,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,116.85
2026-01-12,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,101.0
2026-01-12,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,94.5
2026-01-12,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,95.0
2026-01-13,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,117.35
2026-01-13,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,102.0
2026-01-13,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,95.0
2026-01-13,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,94.5
2026-01-14,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,118.85
2026-01-14,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,104.25
2026-01-14,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,96.25
2026-01-14,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,94.9
2026-01-15,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,122.0
2026-01-15,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,105.25
2026-01-15,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,97.25
2026-01-15,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,93.5
2026-01-16,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,124.0
2026-01-16,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,105.5
2026-01-16,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,97.25
2026-01-16,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,93.5
2026-01-19,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,120.75
2026-01-19,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,102.75
2026-01-19,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,95.5
2026-01-19,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,91.5
2026-01-20,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,120.25
2026-01-20,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,102.35
2026-01-20,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,96.5
